Tên học phần,Mô tả tóm tắt,Khái niệm chính
Welcome to Learn CSS!,Giới thiệu về khóa học CSS và tài liệu tham khảo để nâng cao chuyên môn tạo kiểu web.,Tổng quan về khóa học CSS
Box Model,"Tìm hiểu về mô hình hộp trong CSS, nền tảng cốt lõi của cách hiển thị nội dung trên web.",Box Model
Selectors,Khám phá các phương pháp khác nhau để chọn các phần tử HTML và áp dụng CSS cho chúng.,CSS Selectors
Nesting,Cách lồng các quy tắc kiểu CSS để giúp biểu định kiểu có tổ chức và dễ bảo trì hơn.,CSS Nesting
The cascade,Tìm hiểu cách trình duyệt chọn quy tắc CSS để áp dụng khi có nhiều quy tắc cùng tác động.,Cascade
Specificity,"Đi sâu vào khái niệm độ ưu tiên, một phần quan trọng của cơ chế Cascade.",Specificity
Inheritance,Tìm hiểu cách các thuộc tính CSS kế thừa giá trị và cách tận dụng tính năng này.,Inheritance
Color,Các cách khác nhau để chỉ định màu sắc trong CSS và các giá trị màu phổ biến.,Color values
Sizing Units,Cách xác định kích thước phần tử trong môi trường linh hoạt của web.,Sizing units
Layout,Tổng quan về các phương pháp bố cục khác nhau để xây dựng thành phần hoặc trang web.,Layout methods
Flexbox,Cơ chế bố cục được thiết kế cho các nhóm mục trong một chiều.,Flexbox layout
Grid,Hệ thống bố cục hai chiều giúp kiểm soát bố cục theo hàng và cột.,CSS Grid
Logical Properties,Các thuộc tính liên quan đến luồng văn bản thay vì hình dạng vật lý của màn hình.,"Logical properties, flow relative properties"
Custom Properties,Sử dụng biến CSS để tổ chức và tái sử dụng các giá trị hiệu quả hơn.,"CSS variables, custom properties"
Spacing,Lựa chọn phương pháp tốt nhất để tạo khoảng cách giữa các phần tử.,Spacing methods
Pseudo-elements,Cách nhắm mục tiêu hoặc thêm các phần tử bổ sung mà không cần thêm HTML.,Pseudo-elements
Pseudo-classes,Áp dụng CSS dựa trên sự thay đổi trạng thái của phần tử hoặc tương tác người dùng.,Pseudo-classes
Borders,"Cách thay đổi kích thước, kiểu dáng và màu sắc của khung bao quanh hộp.",Borders
Shadows,Các phương pháp thêm bóng cho văn bản và các phần tử trong CSS.,"Shadows (text-shadow, box-shadow)"
Focus,Tầm quan trọng và cách quản lý trạng thái tiêu điểm cho người dùng chuột và bàn phím.,Focus management
Cursors and pointers,Cách tùy chỉnh kiểu con trỏ để chỉ dẫn người dùng về các tương tác.,Cursor styling
Z-index and stacking contexts,Kiểm soát thứ tự lớp chồng lên nhau bằng z-index và ngữ cảnh xếp chồng.,"Z-index, stacking context"
Anchor positioning,Định vị một phần tử dựa trên một phần tử khác một cách khai báo.,CSS anchor positioning
Popover and dialog,"Sử dụng thuộc tính popover cho các mẫu tương tác như tooltip, alert và toast.","Popover attribute, interactive patterns"
Functions,Khám phá các hàm tích hợp sẵn trong CSS và cách sử dụng chúng.,CSS functions
"Paths, shapes, clipping, and masking",Tạo các hình dạng phức tạp bằng cách sử dụng các hàm cắt và mặt nạ.,"Clipping, masking, shapes"
Gradients,Sử dụng các loại dải màu khác nhau để tạo hiệu ứng mà không cần hình ảnh.,CSS Gradients
Animations,Cách thêm và kiểm soát hiệu ứng hoạt ảnh để làm nổi bật các phần tử.,CSS Animations
Filters,Áp dụng các hiệu ứng đồ họa trực tiếp trong CSS.,CSS Filters
Blend Modes,Tạo hiệu ứng phối hợp bằng cách trộn hai hoặc nhiều lớp với nhau.,Blend modes
Lists,Cách tạo kiểu cho các thành phần của một danh sách (container và items).,List styling
Counters,Kiểm soát các bộ đếm trong danh sách cho các trường hợp sử dụng khác nhau.,CSS counters
Transitions,Xác định các chuyển đổi giữa các trạng thái để cải thiện trải nghiệm người dùng.,CSS Transitions
View Transitions for SPAs,Tạo sự liên tục và ngữ cảnh giữa các trang trong ứng dụng đơn trang.,View Transitions
Overflow,Xử lý nội dung không vừa với kích thước của phần tử cha.,Overflow property
Backgrounds,Các phương pháp tạo kiểu cho nền của các hộp bằng CSS.,Background styling
Text and typography,Cách định dạng và tạo kiểu cho văn bản trên web.,Typography styling
Container queries,Điều chỉnh phần tử dựa trên kích thước của phần tử chứa nó thay vì khung nhìn.,Container queries
Conclusion and next steps,Các tài nguyên bổ sung để giúp bạn thực hiện các bước tiếp theo.,Resources
